,Page_Link,Page_Address,Price,Price_Change,Sys_Date
0,1411-bayou-st/sale_67562795,"1411 Bayou St, Houston, TX 77020",100000,None,6/4/17
1,1415-bayou-st/sale_47340551,"1415 Bayou St, Houston, TX 77020",100000,None,6/4/17
2,1907-benson-st/sale_33291251,"1907 Benson St, Houston, TX 77020",102000,price-reduction,6/4/17
3,443-exchange-st/sale_78583581,"443 Exchange St, Houston, TX 77020",105000,None,6/4/17
4,6806-avenue-i/sale_93842547,"6806 Avenue I, Houston, TX 77011",105000,price-reduction,6/4/17
5,1211-bayou-st/sale_73456666,"1211 Bayou St, HOUSTON, TX 77020",107000,price-reduction,6/4/17
6,4713-vernon-st/sale_42203472,"4713 Vernon St, HOUSTON, TX 77020",115000,None,6/4/17
7,6705-avenue-c-st-3/sale_46056415,"6705 Avenue C St #3, Houston, TX 77011",120000,None,6/4/17
8,4711-sharon-st/sale_40575824,"4711 Sharon St, Houston, TX 77020",120000,None,6/4/17
9,5424-san-juan-st/sale_4732748,"5424 San Juan St, Houston, TX 77020",120000,None,6/4/17
10,1413-mystic-st/sale_99439736,"1413 Mystic St, Houston, TX 77020",125000,price-reduction,6/4/17
11,2721-sam-wilson-st/sale_34946418,"2721 Sam Wilson St, Houston, TX 77020",125500,None,6/4/17
12,4416-rawley-st/sale_28024171,"4416 Rawley St, Houston, TX 77020",128400,price-reduction,6/4/17
13,7320-el-paso-st/sale_68962643,"7320 El Paso St, Houston, TX 77020",139000,None,6/4/17
14,629-hoffman-st/sale_99567748,"629 Hoffman St, HOUSTON, TX 77020",139000,None,6/4/17
15,7346-dallas-st/sale_63759829,"7346 Dallas St, Houston, TX 77011",139000,price-reduction,6/4/17
16,4602-hershe-st/sale_35010514,"4602 Hershe St, Houston, TX 77020",139900,price-reduction,6/4/17
17,218-n-native-ln/sale_50487538,"218 N Native Ln, Houston, TX 77022",144000,price-reduction,6/4/17
18,9305-highlawn-st/sale_14060867,"9305 Highlawn St, Houston, TX 77022",145000,None,6/4/17
19,4320-allen/sale_78935612,"4320 Allen, Houston, TX 77007",145000,price-reduction,6/4/17
20,3510-lyons-ave/sale_16961348,"3510 Lyons Ave, Houston, TX 77020",149000,None,6/4/17
21,6709-force-st/sale_6830107,"6709 Force St, HOUSTON, TX 77020",149500,None,6/4/17
22,1860-white-oak-dr-240/sale_78994448,"1860 White Oak Dr #240, Houston, TX 77009",149900,None,6/4/17
23,7303-texarkana/sale_29103083,"7303 Texarkana, HOUSTON, TX 77020",149900,None,6/4/17
24,2737-houston-ave-27/sale_41537471,"2737 Houston Ave #27, Houston, TX 77009",149900,None,6/4/17
25,742-e-40th-1_2-st/sale_52532396,"742 E 40th 1/2 St, Houston, TX 77022",149990,None,6/4/17
26,428-neyland-st/sale_81351313,"428 Neyland St, Houston, TX 77022",149990,None,6/4/17
27,767-worthshire-st/sale_76131281,"767 Worthshire St, Houston, TX 77008",155000,None,6/4/17
28,92-fichter-st/sale_39908644,"92 Fichter St, Houston, TX 77022",159000,price-reduction,6/4/17
29,750-worthshire-st-0/sale_35024257,"750 Worthshire St #0, Houston, TX 77008",159000,price-reduction,6/4/17
30,5207-barrett-st/sale_87959509,"5207 Barrett St, HOUSTON, TX 77022",159000,price-reduction,6/4/17
31,6607-victoria-st/sale_48429146,"6607 Victoria St, Houston, TX 77020",160000,None,6/4/17
32,5005-s-hardy-street/sale_29914892,"5005 S Hardy Street, Houston, TX 77009",160000,None,6/4/17
33,743-worthshire-st-2/sale_377763,"743 Worthshire St #2, Houston, TX 77008",160000,price-reduction,6/4/17
34,1880-white-oak-dr-176/sale_29911539,"1880 White Oak Dr #176, Houston, TX 77009",164000,price-reduction,6/4/17
35,704-warner-st/sale_44876346,"704 Warner St, Houston, TX 77022",164900,price-reduction,6/4/17
36,3813-fulton-st/sale_47119542,"3813 Fulton St, Houston, TX 77009",169000,None,6/4/17
37,4443-castor-st/sale_93528481,"4443 Castor St, Houston, TX 77022",169900,None,6/4/17
38,762-worthshire-st/sale_34867213,"762 Worthshire St, Houston, TX 77008",169900,price-reduction,6/4/17
39,5502-gano-st/sale_17588082,"5502 Gano St, Houston, TX 77009",170000,None,6/4/17
40,4318-cornell-st/sale_43398549,"4318 Cornell St, Houston, TX 77022",170000,None,6/4/17
41,309-clifton-st/sale_71622958,"309 Clifton St, Houston, TX 77011",170000,price-reduction,6/4/17
42,140-n-milby-st/sale_31124719,"140 N Milby St, Houston, TX 77003",170000,price-reduction,6/4/17
43,138-e-31st-1_2-st/sale_18473594,"138 E 31st 1/2 St, Houston, TX 77018",175000,None,6/4/17
44,4913-sharman-st/sale_16957784,"4913 Sharman St, Houston, TX 77009",175000,None,6/4/17
45,1527-rutland-st-5/sale_12157640,"1527 Rutland St #5, Houston, TX 77008",175000,price-reduction,6/4/17
46,107-altic-st/sale_61797390,"107 Altic St, Houston, TX 77011",175000,price-reduction,6/4/17
47,155-deerfield-st/sale_53895760,"155 Deerfield St, Houston, TX 77022",179000,None,6/4/17
48,1818-ryon/sale_36427364,"1818 Ryon, Houston, TX 77009",179900,None,6/4/17
49,4701-cochran/sale_50214204,"4701 Cochran, Houston, TX 77009",180000,None,6/4/17
50,110-n-burr-st/sale_10297508,"110 N Burr St, Houston, TX 77011",180000,None,6/4/17
51,1880-white-oak-dr-107/sale_13775644,"1880 White Oak Dr #107, Houston, TX 77009",189000,None,6/4/17
52,2507-saltus/sale_93589582,"2507 Saltus, Houston, TX 77003",189000,None,6/4/17
